id,season,name,games,defPD,defQB HUR,defSACKS,defSOLO,defTD,defTFL,defTOT,defINT,team_defPD,team_defQB HUR,team_defSACKS,team_defSOLO,team_defTD,team_defTFL,team_defTOT,ms.tck,tk.game,ms.sck,sk.game,ms.tfl,tfl.game,ms.qbhur
536585,2014,Nico Shepherd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536590,2016,Leonard Washington,7,0,0,1,6,0,2,16,0,14,3,6,156,1,18,314,0.051,2.3,0.167,0.1,0.111,0.3,0.0
536591,2016,Deonte Wilson,8,4,0,0,15,0,0,22,1,14,7,4,116,0,16,210,0.105,2.8,0.0,0.0,0.0,0.0,0.0
536597,2012,Tre'ion Murray,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536598,2013,Zach Robinson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536601,2015,DaQuan Barnes,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536602,2016,Brandon Bishop,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536603,2013,Vintavious Cooper,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536606,2016,Fred Presley,9,1,1,1,13,0,2,27,0,11,7,4,80,0,17,126,0.214,3.0,0.25,0.1,0.118,0.2,0.143
536607,2013,Lance Ray,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536611,2012,Gabriel Woullard,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536612,2015,Bryce Williams,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536636,2016,Khalil Young,1,0,0,0,3,0,0,7,0,2,2,0,32,0,3,78,0.09,7.0,,0.0,0.0,0.0,0.0
536696,2012,Lee Williams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536702,2016,Jalen Randolph,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536721,2016,Simba Gwashavanhu,1,0,0,0,2,0,0,3,0,3,5,1,55,0,4,79,0.038,3.0,0.0,0.0,0.0,0.0,0.0
536730,2014,Mike Burke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536731,2016,Austin Calitro,1,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,,8.0,,0.0,,0.0,
536734,2015,Anthony DeCamillo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536737,2015,Kevin Gulyas,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536739,2016,Shayne Jones,1,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,,7.0,,0.0,,0.0,
536740,2016,Tanoh Kpassagnon,1,0,1,0,2,0,2,3,0,0,0,0,0,0,0,0,,3.0,,0.0,,2.0,
536751,2015,Gary Underwood,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536752,2015,Aaron Wells,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536753,2016,Javon White,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536761,2015,Tre Price,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536798,2013,Richard Aiyegoro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
536800,2013,Jonathan Booker,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536803,2015,Matthew Colvin,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536805,2013,Jamie Cunningham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536807,2016,Jalen Day,2,1,0,0,5,0,0,8,0,2,0,1,47,0,5,53,0.151,4.0,0.0,0.0,0.0,0.0,
536809,2014,John Fleck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536814,2016,Ghafona Iduwe,2,0,0,1,5,0,1,6,0,2,0,1,47,0,5,53,0.113,3.0,1.0,0.5,0.2,0.5,
536818,2016,William Parker,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536822,2016,Devin Rollins,2,1,0,0,11,0,4,17,0,2,0,1,47,0,5,53,0.321,8.5,0.0,0.0,0.8,2.0,
536824,2016,Tamlin Antoine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536826,2015,Myles Williams,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536827,2013,David Wilson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536828,2016,Brandon Wilson,13,5,0,2,29,0,4,43,2,16,12,7,121,2,22,193,0.223,3.3,0.286,0.2,0.182,0.3,0.0
