id,season,name,games,completions,attempts,pass_yds,pass_tds,statINT,statCAR,rush_yds,rush_tds,statFUM,team_statCAR,team_rush_yds,team_rush_tds
503189,2013,Darqueze Dennard,7,0,0,0,0,0,0,0,0,0,0,0,0
503191,2014,Kurtis Drummond,11,0,0,0,0,0,0,0,0,0,0,0,0
503194,2014,Andrew Gleichert,8,0,0,0,0,0,0,0,0,0,0,0,0
503197,2014,Nick Hill,36,0,0,0,0,0,225,1129,11,0,1472,7356,82
503201,2014,Connor Kruse,1,0,0,0,0,0,1,1,0,0,44,242,4
503202,2014,Jeremy Langford,28,0,0,0,0,0,577,2967,40,0,1162,5761,70
503203,2013,Isaiah Lewis,8,0,0,0,0,0,0,0,0,0,0,0,0
503204,2014,Tony Lippett,38,1,2,5,1,0,6,51,1,0,259,1129,11
503206,2014,Keith Mumphery,39,0,0,0,0,0,14,125,1,0,442,2280,25
503207,2011,Niko Palazeti,1,0,0,0,0,0,0,0,0,0,0,0,0
503208,2012,Marcus Rush,0,0,0,0,0,0,0,0,0,0,0,0,0
503209,2013,Mike Sadler,3,0,0,0,0,0,3,54,0,0,113,420,4
503221,2012,Lamonte Edwards,2,0,0,0,0,0,8,11,1,0,69,291,2
503223,2014,Zac Epping,1,0,0,0,0,0,0,4,0,0,52,283,4
503224,2010,Tiree Eure,3,0,0,0,0,0,0,0,0,0,0,0,0
503231,2013,Mike Henry,9,0,0,0,0,0,0,0,0,0,0,0,0
503232,2014,Logan Hutton,3,0,0,0,0,0,0,0,0,0,0,0,0
503233,2014,Donnell Kirkwood,46,0,0,0,0,0,389,1471,11,0,1927,8086,68
503237,2013,James Manuel,2,0,0,0,0,0,0,0,0,0,0,0,0
503238,2013,Gabe Mezzenga,1,0,0,0,0,0,0,0,0,0,0,0,0
503249,2013,Brock Vereen,4,0,0,0,0,0,0,0,0,0,0,0,0
503250,2011,Jordan Wettstein,1,0,0,0,0,0,1,5,1,0,32,105,1
503252,2012,Devon Wright,3,0,0,0,0,0,5,18,0,0,123,522,4
503259,2011,Zach Dunston,0,0,0,0,0,0,0,0,0,0,0,0,0
503260,2014,Demetrius Evans,23,0,0,0,0,0,0,0,0,0,0,0,0
503264,2013,Harold Hoskins,34,0,0,0,0,0,0,0,0,0,0,0,0
503267,2012,Jermain Kelson,15,1,1,18,1,0,1,1,0,0,33,177,1
503269,2013,Jazz King,14,0,0,0,0,0,0,0,0,0,0,0,0
503271,2011,Tron Martinez,19,0,0,0,0,0,238,911,4,0,596,2101,10
503273,2014,Ra'Shawde Myers,1,0,0,0,0,0,0,0,0,0,0,0,0
503276,2014,Darryl Roberts,5,0,0,0,0,0,0,0,0,0,0,0,0
503285,2013,Eddie Sullivan,11,48,122,608,2,5,49,181,2,0,325,1047,8
503287,2014,Travon Van,17,0,0,0,0,0,190,663,5,0,567,2024,13
503295,2013,Christian Bryant,2,0,0,0,0,0,0,0,0,0,0,0,0
503303,2013,Carlos Hyde,38,0,0,0,0,0,523,3198,37,0,1671,9662,98
503312,2012,Verlon Reed,4,0,0,0,0,0,2,8,0,0,32,115,2
503313,2013,Bradley Roby,7,0,0,0,0,0,0,0,0,0,0,0,0
503319,2011,T.Y. Williams,3,0,0,0,0,0,0,0,0,0,0,0,0
503320,2014,Brad Bars,1,0,0,0,0,0,1,32,0,0,45,182,1
503322,2012,Alex Butterworth,1,0,1,0,0,0,0,0,0,0,0,0,0
503323,2012,Glenn Carson,1,0,0,0,0,0,1,19,0,0,41,124,0
503330,2014,Kevin Haplea,9,0,0,0,0,0,0,0,0,0,0,0,0
503331,2014,Mike Hull,2,0,0,0,0,0,0,0,0,0,0,0,0
503333,2012,Paul Jones,1,0,0,0,0,0,1,-7,0,0,40,175,2
503334,2014,Ryan Keiser,4,0,0,0,0,0,1,5,0,0,35,64,0
503335,2013,Alex Kenney,8,0,0,0,0,0,0,0,0,0,0,0,0
503339,2013,C.J. Olaniyan,1,0,0,0,0,0,0,0,0,0,0,0,0
503340,2013,Silas Redd,43,0,0,0,0,0,569,2959,19,0,1457,6627,55
503343,2014,Zach Zwinak,30,0,0,0,0,0,456,2108,21,0,1173,4592,52
503346,2012,Lonnie Ballentine,2,0,0,0,0,0,0,0,0,0,0,0,0
503355,2011,Andrew Ene-Ita,4,0,0,0,0,0,0,0,0,0,0,0,0
503359,2012,Anthony Hayes,1,0,0,0,0,0,0,0,0,0,0,0,0
503360,2014,Brandon Hayes,33,1,2,6,1,1,515,2385,16,0,1317,5289,57
503361,2011,Justin Henderson,7,0,0,0,0,0,0,0,0,0,0,0,0
503362,2013,Tom Hornsey,3,1,1,61,0,0,3,62,0,0,105,398,4
503368,2012,Rob'Donovan Lewis,2,0,0,0,0,0,0,0,0,0,0,0,0
503373,2014,Taurean Nixon,2,0,0,0,0,0,0,0,0,0,0,0,0
503375,2011,Tannar Rehrer,23,0,0,0,0,0,0,0,0,0,0,0,0
503376,2012,Jerrell Rhodes,16,0,0,0,0,0,198,845,5,0,538,1881,12
503377,2010,Delmon Robinson,4,0,0,0,0,0,3,16,0,0,40,144,0
503380,2013,Andy Summerlin,8,101,177,883,2,3,21,-85,0,0,210,510,5
503383,2012,Reggie Travis,14,0,0,0,0,0,0,0,0,0,0,0,0
503385,2010,Todd Washington,1,0,0,0,0,0,0,0,0,0,0,0,0
503387,2012,Kevin Wright,13,0,0,0,0,0,0,0,0,0,0,0,0
503388,2012,Beau Allen,0,0,0,0,0,0,0,0,0,0,0,0,0
503389,2014,Joe Brennan,7,7,22,68,0,1,10,-8,1,0,151,890,13
503392,2014,Kyle Costigan,1,0,0,0,0,0,0,0,0,0,0,0,0
503395,2014,Manasseh Garner,22,0,0,0,0,0,0,0,0,0,0,0,0
503397,2012,Chase Hammond,4,0,0,0,0,0,0,0,0,0,0,0,0
503403,2014,Peniel Jean,2,0,0,0,0,0,0,0,0,0,0,0,0
503408,2013,Jeffrey Lewis,12,0,0,0,0,0,40,202,2,0,572,4125,52
503412,2014,Joe McNamara,0,0,0,0,0,0,0,0,0,0,0,0,0
503416,2013,Jacob Pedersen,42,0,0,0,0,0,1,10,0,0,55,471,4
503420,2014,Marcus Trotter,1,0,0,0,0,0,0,0,0,0,0,0,0
503422,2013,James White,52,1,2,3,1,0,643,4015,45,0,2265,13300,164
503426,2013,Gabe Baker,1,0,0,0,0,0,0,0,0,0,0,0,0
503427,2014,Bryce Callahan,10,0,0,0,0,0,0,0,0,0,0,0,0
503430,2012,Taylor Cook,19,32,57,409,3,1,10,28,0,0,138,620,7
503432,2013,Jeremy Eddington,25,2,5,10,0,1,131,627,14,0,1095,4442,44
503433,2010,Andy Erickson,1,0,0,0,0,0,0,0,0,0,0,0,0
